epoch,epoch_loss,split,loss,acc,sample_fn
29,0.46823454,train,0.46102434,0.854523557382836,gumbel_soft
29,0.46823454,val,0.46729055,0.8531325525190556,gumbel_soft
29,0.46823454,test,0.4917569,0.835716077251066,gumbel_soft
30,0.46672744,train,0.4723022,0.8483253389812911,gumbel_soft
30,0.46672744,val,0.47621104,0.8428146495631158,gumbel_soft
30,0.46672744,test,0.5201411,0.8264359167293704,gumbel_soft
31,0.44486165,train,0.46054116,0.8480553998214249,gumbel_soft
31,0.44486165,val,0.4735321,0.8436512362892731,gumbel_soft
31,0.44486165,test,0.4623706,0.8434077418276064,gumbel_soft
32,0.45896918,train,0.46171805,0.8317552274756536,gumbel_soft
32,0.45896918,val,0.49394277,0.8334262874140175,gumbel_soft
32,0.45896918,test,0.49261016,0.8155672602625199,gumbel_soft
33,0.4612164,train,0.45931667,0.8493428019684794,gumbel_soft
33,0.4612164,val,0.47518668,0.8523889198735825,gumbel_soft
33,0.4612164,test,0.50709176,0.8267703369283504,gumbel_soft
34,0.44885886,train,0.45973647,0.8372578334267738,gumbel_soft
34,0.44885886,val,0.48105797,0.8347276445435955,gumbel_soft
34,0.44885886,test,0.50546527,0.8215868238441602,gumbel_soft
35,0.46184957,train,0.4626636,0.8445461907431633,gumbel_soft
35,0.46184957,val,0.47453582,0.8453244097415876,gumbel_soft
35,0.46184957,test,0.46563455,0.8418192458824513,gumbel_soft
36,0.44318256,train,0.46983457,0.8371851574991175,gumbel_soft
36,0.44318256,val,0.48076788,0.8363078639152258,gumbel_soft
36,0.44318256,test,0.4792984,0.8320374550622858,gumbel_soft
37,0.46949548,train,0.45939952,0.8475674328785897,gumbel_soft
37,0.46949548,val,0.5047446,0.8387246700130135,gumbel_soft
37,0.46949548,test,0.51476437,0.8308669843658557,gumbel_soft
38,0.45784655,train,0.4849229,0.8298760356319691,gumbel_soft
38,0.45784655,val,0.50721776,0.8257110987172337,gumbel_soft
38,0.45784655,test,0.49598485,0.8254326561324304,gumbel_soft
39,0.45763358,train,0.46202722,0.8597458418987105,gumbel_soft
39,0.45763358,val,0.45311075,0.864565904443205,gumbel_soft
39,0.45763358,test,0.48067737,0.8567009447370622,gumbel_soft
40,0.46623018,train,0.4754362,0.8361676945119292,gumbel_soft
40,0.46623018,val,0.48106575,0.8406767057073805,gumbel_soft
40,0.46623018,test,0.4893476,0.8266867318786054,gumbel_soft
41,0.4667032,train,0.47049776,0.8366452791793849,gumbel_soft
41,0.4667032,val,0.4499355,0.839003532255066,gumbel_soft
41,0.4667032,test,0.5069602,0.8243457904857453,gumbel_soft
42,0.47618687,train,0.49302796,0.8512739051890612,gumbel_soft
42,0.47618687,val,0.48897502,0.8510875627440044,gumbel_soft
42,0.47618687,test,0.5460297,0.8336259510074409,gumbel_soft
43,0.47539628,train,0.5183056,0.8241865487240183,gumbel_soft
43,0.47539628,val,0.5091504,0.8229224762967094,gumbel_soft
43,0.47539628,test,0.53600323,0.81673773095895,gumbel_soft
44,0.5005552,train,0.4841694,0.8402063996345439,gumbel_soft
44,0.5005552,val,0.49935764,0.8356571853504369,gumbel_soft
44,0.5005552,test,0.48034373,0.8428225064793914,gumbel_soft
45,0.48563313,train,0.5149022,0.8335928902178201,gumbel_soft
45,0.48563313,val,0.5305397,0.8233872467001301,gumbel_soft
45,0.48563313,test,0.57079214,0.8153164451132848,gumbel_soft
46,0.48935577,train,0.48582575,0.8431445835669346,gumbel_soft
46,0.48935577,val,0.49583444,0.837051496560699,gumbel_soft
46,0.48935577,test,0.4783394,0.8465011286681715,gumbel_soft
47,0.48927,train,0.5084099,0.8381507091094084,gumbel_soft
47,0.48927,val,0.6202102,0.7990332775608849,gumbel_soft
47,0.48927,test,0.52001804,0.8304489591171307,gumbel_soft
